,Chorus,SERVANTS.CAPULET.Gregory,SERVANTS.MONTAGUE.Abram,SERVANTS.MONTAGUE.1,Benvolio,SERVANTS.CAPULET.Sampson,Tybalt,Montague,LadyMontague,Romeo,SERVANTS.CAPULET.X.1,ATTENDANTS,Mercutio,Boy,MASKERS,Juliet,GUESTS,Capulet,Nurse,SERVANTS.CAPULET,LadyCapulet,Cousin,SERVANTS.CAPULET.Peter,SERVANTS.MONTAGUE,Petruchio,CITIZENS,SERVANTS,PrinceEscalus,SERVANTS.TYBALT.1,Paris,MUSICIANS,FriarLawrence,SERVANTS.PARIS.1,WATCHMEN.0.2,WATCHMEN,SERVANTS.MONTAGUE.Balthasar,ATTENDANTS.PRINCE,WATCHMEN.0.3,SERVANTS.CAPULET.X.2,Apothecary,FriarJohn
CITIZENS.0.1,0.0,0.0,0.0,0.0,41.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUSICIANS.0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,28.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUSICIANS.0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUSICIANS.0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.MONTAGUE.Balthasar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,298.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,199.0,0.0,162.0,98.0,61.0,61.0,0.0,61.0,61.0,0.0,0.0,0.0
Apothecary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FriarJohn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.PARIS.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,51.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,98.0,0.0,51.0,0.0,51.0,64.0,78.0,51.0,51.0,0.0,0.0,0.0
WATCHMEN.0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,188.0,0.0,61.0,188.0,73.0,188.0,188.0,50.0,61.0,0.0,0.0,0.0
WATCHMEN.0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0
WATCHMEN.0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,32.0,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0
