,Camillo,Archidamus,Leontes,Mamillius,Polixenes,ATTENDANTS.PAULINA.0.1,Perdita,Florizell,MUSICIANS,Mopsa,SERVANTS.SHEPHERD,ShepherdsSon,Dorcas,Shepherd,SHEPHERDS,Autolycus,Hermione,ATTENDANTS,Paulina,SERVANTS.SHEPHERD.1,LADIES,Antigonus,SERVANTS.X.1,SERVANTS,Perdita.Infant,SERVANTS.X.2,OFFICERS,Dion,Cleomenes,SERVANTS.X.3,ATTENDANTS.X,Sailor,ATTENDANTS.PAULINA,Jailer,LADIES.Emilia,ATTENDANTS.1,ATTENDANTS.3,ATTENDANTS.2
Florizell,1137.0,0.0,323.0,0.0,507.0,1749.0,1749.0,0.0,167.0,167.0,167.0,167.0,167.0,507.0,167.0,64.0,0.0,0.0,323.0,0.0,0.0,0.0,0.0,323.0,0.0,0.0,0.0,323.0,323.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdita,867.0,0.0,80.0,0.0,682.0,1130.0,0.0,1130.0,590.0,590.0,590.0,590.0,590.0,721.0,590.0,26.0,60.0,60.0,80.0,13.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorcas,96.0,0.0,0.0,0.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,0.0,96.0,96.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mopsa,189.0,0.0,0.0,0.0,189.0,189.0,189.0,189.0,189.0,0.0,189.0,189.0,189.0,189.0,189.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.SHEPHERD.1,386.0,0.0,0.0,0.0,386.0,386.0,386.0,386.0,386.0,256.0,386.0,256.0,256.0,386.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.X.3,0.0,0.0,149.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,149.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.X,0.0,0.0,213.0,0.0,0.0,213.0,213.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,213.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTENDANTS.1,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0
ATTENDANTS.2,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,67.0,0.0
ATTENDANTS.3,0.0,0.0,0.0,0.0,0.0,694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.0,0.0,694.0
