,Gaunt,LORDS,ATTENDANTS,HenryIV_1H4,Mowbray,HERALDS.1,OFFICERS,Aumerle,LordMarshal,HERALDS.2,Green,Bagot,Bushy,Queen,ATTENDANTS.GAUNT,York,Ross,Willoughby,Northumberland,BishopOfCarlisle,SOLDIERS.RICHARD,Salisbury,Scroop,ATTENDANTS.HENRY,SOLDIERS.HENRY,Hotspur,AbbotOfWestminster,LORDS.1,OFFICERS.0,Surrey,Fitzwater,HERALDS.X,OFFICERS.0.1,LADIES,Groom,Jailer,SERVANTS.EXTON,Exton,RichardII,DuchessOfGloucester,Berkeley,DuchessOfYork,SERVANTS.YORK.1,SERVANTS.GARDENER.2,SERVANTS.GARDENER.1,Gardener,WelshCaptain
Ross,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
Willoughby,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,136.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.YORK.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,54.0,54.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bagot,0.0,0.0,0.0,114.0,0.0,0.0,114.0,114.0,0.0,0.0,88.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,114.0,114.0,0.0,0.0,0.0,0.0,0.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hotspur,0.0,59.0,0.0,437.0,0.0,0.0,57.0,57.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,109.0,0.0,0.0,378.0,99.0,0.0,0.0,0.0,67.0,67.0,0.0,57.0,57.0,57.0,57.0,99.0,57.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Berkeley,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WelshCaptain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salisbury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,111.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
BishopOfCarlisle,0.0,0.0,0.0,423.0,0.0,0.0,423.0,588.0,0.0,0.0,0.0,423.0,0.0,0.0,0.0,325.0,0.0,0.0,423.0,0.0,144.0,82.0,82.0,0.0,0.0,423.0,444.0,423.0,423.0,423.0,423.0,423.0,21.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scroop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,327.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
