1H4.json,"Henry IV, Part I"
1H6.json,"Henry VI, Part I"
2H4.json,"Henry IV, Part II"
2H6.json,"Henry VI, Part II"
3H6.json,"Henry VI, Part III"
Ado.json,Much Ado about Nothing
Ant.json,Antony and Cleopatra
AWW.json,All's Well That Ends Well
AYL.json,As You Like It
Cor.json,Coriolanus
Cym.json,Cymbeline
Err.json,Comedy of Errors
H5.json,Henry V
H8.json,Henry VIII
Ham.json,Hamlet
JC.json,Julius Caesar
Jn.json,King John
LLL.json,Love's Labour's Lost
Lr.json,King Lear
Mac.json,Macbeth
MM.json,Measure for Measure
MND.json,Midsummer Night's Dream
MV.json,Merchant of Venice
Oth.json,Othello
Per.json,Pericles
R2.json,Richard II
R3.json,Richard III
Rom.json,Romeo and Juliet
Shr.json,Taming of the Shrew
TGV.json,Two Gentlemen of Verona
Tim.json,Timon of Athens
Tit.json,Titus Andronicus
Tmp.json,Tempest
TN.json,Twelfth Night
TNK.json,Two Noble Kinsmen
Tro.json,Troilus and Cressida
Wiv.json,Merry Wives of Windsor
WT.json,Winter's Tale
