File,Silhouette Score
Wiv_exchange.csv,0.3884890003735981
TGV_exchange.csv,0.46437165242298756
TN_exchange.csv,0.5002772900600383
LLL_exchange.csv,0.5066361003155596
AYL_exchange.csv,0.5086212424201402
Tro_exchange.csv,0.5270273042836443
Ado_exchange.csv,0.5565714256322251
Cym_exchange.csv,0.5966535206705584
Err_exchange.csv,0.5977518850626817
Tmp_exchange.csv,0.6184764425368466
MND_exchange.csv,0.6367024926370727
AWW_exchange.csv,0.6430660306566975
Jn_exchange.csv,0.6804047008756666
Rom_exchange.csv,0.6957024627159573
WT_exchange.csv,0.7092020726852127
Oth_exchange.csv,0.7307493875922144
TNK_exchange.csv,0.7327203023521736
MV_exchange.csv,0.7354574527754646
1H4_exchange.csv,0.7371185417870967
H8_exchange.csv,0.748520691790707
2H4_exchange.csv,0.7529503146504563
MM_exchange.csv,0.7547694168324816
Cor_exchange.csv,0.7586976591154646
.DS_Store,0.7586976591154646
1H6_exchange.csv,0.7658456059313663
Mac_exchange.csv,0.7750756602923792
2H6_exchange.csv,0.7766745366413427
Lr_exchange.csv,0.7824304181013306
Ham_exchange.csv,0.7934812560505994
3H6_exchange.csv,0.795387015325169
Shr_exchange.csv,0.8071200663915555
Tit_exchange.csv,0.814297158485146
R2_exchange.csv,0.8264153345014063
R3_exchange.csv,0.835859130972386
Per_exchange.csv,0.8374911448012073
H5_exchange.csv,0.839290887455033
JC_exchange.csv,0.8448771332702443
Tim_exchange.csv,0.8463806923740734
Ant_exchange.csv,0.8692755862453434
